month_start,calendar_year,density_280_kg_m3,temperature_280_K,f107_sfu,ap_nt
2015-09-01,2015.665982,2.016826744979927e-11,803.6061230592122,nan,nan
2015-10-01,2015.748118,2.5077156546600363e-11,835.7243965187853,nan,nan
2015-11-01,2015.832991,2.380930233588421e-11,818.2763115279946,nan,nan
2015-12-01,2015.915127,2.3206081359446808e-11,826.9007171034023,nan,nan
2016-01-01,2016.000000,1.933225149325424e-11,786.491111244186,nan,nan
2016-02-01,2016.084873,2.0346131486357642e-11,784.9466146837634,nan,nan
2016-03-01,2016.164271,2.3589489273375604e-11,808.547371422235,nan,nan
2016-04-01,2016.249144,1.6439371606570835e-11,731.6781015397955,nan,nan
2016-05-01,2016.331280,1.7487850234846394e-11,771.1747596418274,nan,nan
2016-06-01,2016.416153,1.3059575110440712e-11,741.870161311635,nan,nan
2016-07-01,2016.498289,1.2804535554711562e-11,757.3822322259412,nan,nan
2016-08-01,2016.583162,1.3081432145390448e-11,754.4745699460365,nan,nan
2016-09-01,2016.668036,1.541189601411941e-11,759.5067721609765,nan,nan
2016-10-01,2016.750171,1.682849632082679e-11,754.6603381399613,nan,nan
2016-11-01,2016.835044,1.43207735584452e-11,718.5533497410446,nan,nan
2016-12-01,2016.917180,1.3333328489452288e-11,718.11735043328,nan,nan
2017-01-01,2017.002053,1.183141135436087e-11,707.0422857269672,nan,nan
2017-02-01,2017.086927,1.2299519876197962e-11,709.9560055746849,nan,nan
2017-03-01,2017.163587,1.3819106074959708e-11,718.278173977346,nan,nan
2017-04-01,2017.248460,1.4479735251280468e-11,721.6723060920216,nan,nan
2017-05-01,2017.330595,1.2486538089020693e-11,707.6256804097678,nan,nan
2017-06-01,2017.415469,1.0065021848642168e-11,699.2588851940945,nan,nan
2017-07-01,2017.497604,9.38262688008269e-12,704.9111535563334,nan,nan
2017-08-01,2017.582478,1.1514432421585188e-11,744.4579087821409,nan,nan
2017-09-01,2017.667351,1.4136381706301957e-11,755.4749436867238,nan,nan
2017-10-01,2017.749487,1.255388706874243e-11,699.1912348906031,nan,nan
2017-11-01,2017.834360,1.1342531909763227e-11,674.6157725093248,nan,nan
2017-12-01,2017.916496,1.0796105025767803e-11,680.5457909788871,nan,nan
2018-01-01,2018.001369,8.833159225551953e-12,659.7762023776091,nan,nan
2018-02-01,2018.086242,8.283049568845803e-12,645.1263535300404,nan,nan
2018-03-01,2018.162902,1.0407752940563486e-11,668.8741891999551,nan,nan
2018-04-01,2018.247775,1.229985187766059e-11,690.8223069727654,nan,nan
2018-05-01,2018.329911,1.1590189237051856e-11,694.8592886021396,nan,nan
2018-06-01,2018.414784,8.89439101160285e-12,679.4646520641852,nan,nan
2018-07-01,2018.496920,7.889303309393313e-12,674.1446391014736,nan,nan
2018-08-01,2018.581793,8.072300668750738e-12,669.4653365275389,nan,nan
2018-09-01,2018.666667,9.570925793031582e-12,672.5665303590598,nan,nan
2018-10-01,2018.748802,1.0690820614970319e-11,668.2294031849632,nan,nan
2018-11-01,2018.833676,9.322862183934695e-12,644.1444460802226,nan,nan
2018-12-01,2018.915811,9.643206428590063e-12,662.4671461748338,nan,nan
2019-01-01,2019.000684,8.739661714006863e-12,657.9437311314085,nan,nan
2019-02-01,2019.085558,8.886117458527725e-12,656.401735943602,nan,nan
2019-03-01,2019.162218,1.0125146669097508e-11,664.9736355596496,nan,nan
2019-04-01,2019.247091,1.1910125320502641e-11,686.5134379944444,nan,nan
2019-05-01,2019.329227,1.0284043789459605e-11,675.5446807816351,nan,nan
2019-06-01,2019.414100,8.353104424201128e-12,668.4933920860291,nan,nan
2019-07-01,2019.496235,7.705574330615536e-12,671.2979265015223,nan,nan
2019-08-01,2019.581109,7.382538944707637e-12,656.5500687955963,nan,nan
2019-09-01,2019.665982,9.961370807822297e-12,681.281948065939,nan,nan
2019-10-01,2019.748118,1.0005129761505154e-11,658.5336881603143,nan,nan
2019-11-01,2019.832991,1.0693150913620487e-11,667.736328657487,nan,nan
2019-12-01,2019.915127,9.109860171410576e-12,654.1378531426564,nan,nan
2020-01-01,2020.000000,9.284611455786064e-12,668.4959341900684,nan,nan
2020-02-01,2020.084873,8.582449382342644e-12,651.603603390526,nan,nan
2020-03-01,2020.164271,1.0510882398640508e-11,670.6714068650821,nan,nan
2020-04-01,2020.249144,9.951500878931255e-12,654.9856952941362,nan,nan
2020-05-01,2020.331280,9.944187345679578e-12,670.3039237714127,nan,nan
2020-06-01,2020.416153,8.408451582497178e-12,668.8045506550111,nan,nan
2020-07-01,2020.498289,7.220309295669671e-12,658.5072161670118,nan,nan
2020-08-01,2020.583162,8.56555382494587e-12,680.1041089292462,nan,nan
2020-09-01,2020.668036,9.9137873825283e-12,678.3283667063871,nan,nan
2020-10-01,2020.750171,1.160165727515717e-11,685.5093384765408,nan,nan
2020-11-01,2020.835044,1.2867513686071963e-11,701.0226783130533,nan,nan
2020-12-01,2020.917180,1.280335913380422e-11,712.4069928609076,nan,nan
2021-01-01,2021.002053,9.297331200922153e-12,660.624002861047,nan,nan
2021-02-01,2021.086927,1.0482582849818452e-11,677.3481554999129,nan,nan
2021-03-01,2021.163587,1.2023461382741502e-11,688.1322433506657,nan,nan
2021-04-01,2021.248460,1.2523297256421444e-11,690.6776472294246,nan,nan
2021-05-01,2021.330595,1.0878977751588132e-11,681.2238713483155,nan,nan
2021-06-01,2021.415469,1.0555552598962105e-11,702.763308731804,nan,nan
2021-07-01,2021.497604,1.0716690881046039e-11,719.9863235613343,nan,nan
2021-08-01,2021.582478,1.2478061770005729e-11,738.1286119186026,nan,nan
2021-09-01,2021.667351,1.2783425535867658e-11,717.3613328735047,nan,nan
2021-10-01,2021.749487,1.5981453522133956e-11,738.8649869120221,nan,nan
2021-11-01,2021.834360,1.8149981238132204e-11,761.7007464547487,nan,nan
2021-12-01,2021.916496,1.7871983866962924e-11,777.8881874403231,nan,nan
2022-01-01,2022.001369,1.792108901408322e-11,790.6821864799077,nan,nan
2022-02-01,2022.086242,2.0870725391613025e-11,822.6167197064035,nan,nan
2022-03-01,2022.162902,2.3394392760295762e-11,833.8680947372816,nan,nan
2022-04-01,2022.247775,3.0240657170479955e-11,909.8400665527706,nan,nan
2022-05-01,2022.329911,2.6676217422260434e-11,899.1371256000424,nan,nan
2022-06-01,2022.414784,1.999958467467036e-11,856.6573496698874,nan,nan
2022-07-01,2022.496920,1.83962048560828e-11,851.5682997158864,nan,nan
2022-08-01,2022.581793,1.9263499925632066e-11,860.3212344881382,nan,nan
2022-09-01,2022.666667,2.3522624913550352e-11,874.9580352322722,nan,nan
2022-10-01,2022.748802,2.8522403377682105e-11,888.656089827043,nan,nan
2022-11-01,2022.833676,2.8436935259815697e-11,877.5474180555016,nan,nan
2022-12-01,2022.915811,2.8865116358852635e-11,923.6219972144125,nan,nan
2023-01-01,2023.000684,3.180006036424321e-11,997.3777278710908,nan,nan
