date,calendar_year,density_280_kg_m3,temperature_280_K,f107_sfu,ap_nt
2014-11-28,2014.907598,3.695138379847272e-11,988.9565741399034,nan,nan
2014-12-03,2014.921287,3.755518844220958e-11,995.3872878839844,nan,nan
2014-12-08,2014.934976,3.777222539665118e-11,989.4003874947264,nan,nan
2014-12-13,2014.948665,3.6072357483969225e-11,972.1243950235838,nan,nan
2014-12-18,2014.962355,3.683198622665852e-11,985.9297366817609,nan,nan
2014-12-23,2014.976044,4.020054233883275e-11,1032.033265762126,nan,nan
2014-12-28,2014.989733,2.961462383131393e-11,915.9251649528107,nan,nan
2015-01-02,2015.003422,2.8354490919650056e-11,900.4683626376959,nan,nan
2015-01-07,2015.017112,3.250194519731921e-11,943.749551697233,nan,nan
2015-01-12,2015.030801,3.0897627964731686e-11,921.8113837303706,nan,nan
2015-01-17,2015.044490,2.9674678323050385e-11,905.6536735224528,nan,nan
2015-01-22,2015.058179,3.0735834837407235e-11,914.7720367876339,nan,nan
2015-01-27,2015.071869,2.918322286349191e-11,894.8519158331643,nan,nan
2015-02-01,2015.085558,3.3052433597180995e-11,928.0514393985275,nan,nan
2015-02-06,2015.099247,4.0697034923425474e-11,1000.344814089798,nan,nan
2015-02-11,2015.112936,3.5007259521022493e-11,940.2843370336471,nan,nan
2015-02-16,2015.126626,2.673087727710136e-11,849.0955503455048,nan,nan
2015-02-21,2015.140315,2.5262397431272015e-11,829.1207573005395,nan,nan
2015-02-26,2015.154004,2.7861433730495475e-11,852.6166796073467,nan,nan
2015-03-03,2015.167693,3.674403201705774e-11,939.5872332710182,nan,nan
2015-03-08,2015.181383,3.769322027224527e-11,947.967745669521,nan,nan
2015-03-13,2015.195072,2.9596916248348045e-11,863.2019876206343,nan,nan
2015-03-18,2015.208761,5.4713780620035506e-11,1094.9888452299544,nan,nan
2015-03-23,2015.222450,2.4846241856840225e-11,808.4782702399576,nan,nan
2015-03-28,2015.236140,3.092256058552222e-11,870.8538199179413,nan,nan
2015-04-02,2015.249829,3.636512248358672e-11,927.2689158578887,nan,nan
2015-04-07,2015.263518,2.92380596564314e-11,859.4841383763252,nan,nan
2015-04-12,2015.277207,3.2249646574828824e-11,889.837719330142,nan,nan
